position,title,snippet,link,displayed_link,highlighs
65,Sumeet Chatterjee (@SumChatter) / X,"@larsentoubro. ·. Aug 23, 2023. Mission accomplished! Congratulations Team. @ISRO. on achieving a successful Soft Landing on the Lunar Surface. L&T is proud of ...",https://twitter.com/SumChatter,https://twitter.com › SumChatter,['larsentoubro']
66,BharatShakti.in,"Five Mega Deals Worth Rs 39,125 Crore Signed By Defence Ministry. @HALHQBLR · @larsentoubro · @BrahMosMissile · @DefenceMinIndia.",https://twitter.com/BharatShaktiBSI/status/1763521283789148579,https://twitter.com › BharatShaktiBSI › status,['larsentoubro']
67,Ninjamonkey,@larsentoubro. should get P75I 1)Given. @MazagonDockLtd. will already get 4 extra #Scorpene to build & also has to upgrade the older 6 Scorpene ...,https://twitter.com/Aryan_warlord/status/1765078105750970586,https://twitter.com › Aryan_warlord › status,['larsentoubro']
68,iffco,"@larsentoubro. and its Group Advisor, Kuldip Goel, for offering congratulations on our achievement. Such uplifting support motivates us to ...",https://twitter.com/IFFCO_PR/status/1761032829880692919,https://twitter.com › IFFCO_PR › status,['larsentoubro']
69,Sanket Upadhyay,@larsentoubro . Have also interviewed their force building the Ram Temple. A structure built to last a 1000 yrs & beyond. Beats me how they ...,https://twitter.com/sanket/status/1755645451796164766,https://twitter.com › sanket › status,['larsentoubro']
70,Isn't L&T already building nuke subs? that line is never ...,Aryan_warlord @larsentoubro @MazagonDockLtd @DRDO_India Isn't L&T already building nuke subs? that line is never going to die down due to ...,https://twitter.com/VkJoisG/status/1765240665997279658,https://twitter.com › VkJoisG › status,
71,India Smart Utility Week - ISUW,"... Delhi Join #ISUW24 as a Partner if your energy company seeks global connections. @larsentoubro. Image. 10:30 AM · Mar 1, 2024. ·. 76. Views. 2. Reposts.",https://twitter.com/ISUW_India/status/1763512057222017294,https://twitter.com › ISUW_India › status,['larsentoubro']
72,Sudhir Chaturvedi (@Sudhir_Chat) ...,‍♂️Lace up your running shoes for the most iconic marathon yet! @larsentoubro. is proud to sponsor the upcoming #LnTSeaBridgeMarathon on India's longest ...,https://twitter.com/Sudhir_Chat,https://twitter.com › Sudhir_Chat,['larsentoubro']
73,McPhy,"@larsentoubro . L&T recently commissioned its first domestically manufactured #electrolyzer at the Green Hydrogen Plant in Hazira, Gujarat ...",https://twitter.com/McPhyEnergy/status/1764928085219013065,https://twitter.com › McPhyEnergy › status,['larsentoubro']
74,Nirmala Sitharaman Office,"Shri S N Subrahmanyan, Chairman & Managing Director - Larsen & Toubro (. @larsentoubro. ), calls on Smt. @nsitharaman.",https://twitter.com/nsitharamanoffc/status/1763473093295493379,https://twitter.com › nsitharamanoffc › status,['larsentoubro']
75,amruta fadnavis,@larsentoubro · @MMRDAOfficial · @CCI_India. & other sponsors ! An important platform for the game of power for power women ! #Tennis.,https://twitter.com/fadnavis_amruta/status/1754416744817660172,https://twitter.com › fadnavis_amruta › status,['larsentoubro']
76,amruta fadnavis,"@larsentoubro · @MMRDAOfficial · @CCI_India. & other sponsors ! At the finals, as Chief Patron of WTA, presented winners trophy to Darja ...",https://twitter.com/fadnavis_amruta/status/1757067335439937732,https://twitter.com › fadnavis_amruta › status,['larsentoubro']
77,BW Businessworld,@larsentoubro · https://businessworld.in/article/Light-Tank-Project-Has-Been-Realized-Says-Top-L-T-Official/26-02-2024-510968/… Image. 7:30 AM ...,https://twitter.com/BWBusinessworld/status/1762017244014326051,https://twitter.com › BWBusinessworld › status,['larsentoubro']
78,AP Skill Development,@larsentoubro. for Skilling the Youth from the State of #AndhraPradesh Registration Link https://forms.gle/tSxmcmrzEaqPUiBL8… (or) http ...,https://twitter.com/AP_Skill/status/1444971952691499010,https://twitter.com › AP_Skill › status,['larsentoubro']
79,ChristinMathewPhilip,Kengeri suburban rail is likely to be ready by 2027. Kengeri passengers will have to shift to airport suburban line at KSR Bengaluru City.,https://twitter.com/ChristinMP_/status/1499567100418932736,https://twitter.com › ChristinMP_ › status,
80,Rajkumar Dugar,@larsentoubro. until now is insult to snails. WHY? Other Corridors tenders not yet awarded.Starting COUNTDOWN CLOCK to make all Concerned to ...,https://twitter.com/rajdugar/status/1726787361730871402,https://twitter.com › rajdugar › status,['larsentoubro']
81,ramesh jbhojwani,larsentoubro Many thanks for your seasons Greetings. Wishing all at L&T and their families Merry Christmas & A Happy New Year.,https://twitter.com/RAMESHJBHOJWANI/status/1606555106245505024,https://twitter.com › RAMESHJBHOJWANI › status,
82,Anne-Marie Trevelyan MP,@larsentoubro. Shipyard in #Chennai to discuss - industrial defence collaboration and modern shipbuilding techniques for maritime ...,https://twitter.com/annietrev/status/1713448479735894411,https://twitter.com › annietrev › status,['larsentoubro']
83,Mercom India,"... -auction… @mnreindia · @Ohmium_Inc · @AdvaitInfra · @larsentoubro · @h2epower. Image. Last editedOpens edit history 5:13 PM · Jan 12, 2024. ·.",https://twitter.com/MercomIndia/status/1745856479369068777,https://twitter.com › MercomIndia › status,['larsentoubro']
84,Saurabh Sinha,@larsentoubro. arm developing flying taxis. Has order for upto 250 of them from co http://toi.in/2fDyXZ83/a24gk via. @timesofindia.,https://mobile.twitter.com/27saurabhsinha/status/1645255012610899968,https://mobile.twitter.com › status,['larsentoubro']
85,Hardeep Singh Puri,"@EngineersIND. &. @larsentoubro. for achieving this incredible engineering feat! 4:36 PM · Oct 26, 2023. ·. 6,859. Views. 427. Reposts · 352.",https://twitter.com/HardeepSPuri/status/1717581039470862578,https://twitter.com › HardeepSPuri › status,['larsentoubro']
86,CHETNA India,@larsentoubro · @DCMShriramLtd · @Nationalforces_ · @unwomenindia · @UNICEFIndia · @Pallavi93142012 · @over2shailaja · @CSR_India · 9:11 AM · ...,https://mobile.twitter.com/ngo_chetna/status/1595344173657624576,https://mobile.twitter.com › ngo_chetna › status,['larsentoubro']
87,L&T Sea Bridge Marathon,"Thank you, Mumbai for showing us your true spirit! #LnTSeaBridgeMarathon #StridesForMumbai · @larsentoubro. Image. 6:24 AM · Feb 19, 2024. ·. 593. Views. 3.",https://twitter.com/LnTSeaBridge/status/1759463835994374418,https://twitter.com › LnTSeaBridge › status,['larsentoubro']
